date,month_label,provider,country_iso3,order_payment_type,payment_method,card_brand,gender,offer,orders_count,total_payout_usd
2025-10-01,Oct 2025,Che,BRA,recurring,card,MASTERCARD,male,2828,78,2793.784754
2025-10-01,Oct 2025,Ad,IND,upsell,card,AMEX,male,No offer,50,2788.098614
2025-10-01,Oct 2025,PP,COL,recurring,APM,Unknown,male,2828,76,2783.489178
2025-10-01,Oct 2025,Sol,GBR,recurring,apple_pay,MASTERCARD,male,2828,52,2764.634595
2025-10-01,Oct 2025,Sol,USA,recurring,card,MASTERCARD,male,8484,39,2759.62
2025-10-01,Oct 2025,Sol,TUR,recurring,card,MASTERCARD,male,2828,74,2759.26
2025-10-01,Oct 2025,Ad,BRA,upsell,apple_pay,VISA,male,No offer,53,2740.654461
2025-10-01,Oct 2025,Ad,HKG,recurring,apple_pay,VISA,male,2828,69,2739.31
2025-10-01,Oct 2025,Pay,ISR,recurring,apple_pay,MASTERCARD,male,2828,72,2739.3
2025-10-01,Oct 2025,Nuv,MEX,first,card,MASTERCARD,male,2828,162,2721.386653
2025-10-01,Oct 2025,Ad,BRA,recurring,apple_pay,VISA,male,8484,34,2719.66
2025-10-01,Oct 2025,PP,SWE,recurring,APM,Unknown,male,2828,58,2710.454154
2025-10-01,Oct 2025,Eb,PER,first,card,VISA,male,8484,65,2693.604622
2025-10-01,Oct 2025,Ad,CHL,recurring,apple_pay,VISA,male,2828,72,2669.29
2025-10-01,Oct 2025,Sol,IDN,recurring,card,MASTERCARD,male,2828,84,2664.17
2025-10-01,Oct 2025,Ad,JPN,recurring,apple_pay,VISA,male,8484,34,2661.394007
2025-10-01,Oct 2025,Nuv,ARE,first,apple_pay,VISA,male,2828,154,2651.245045
2025-10-01,Oct 2025,Che,COL,recurring,card,MASTERCARD,male,2828,81,2650.939555
2025-10-01,Oct 2025,Che,ARE,recurring,card,MASTERCARD,male,2828,83,2646.898406
2025-10-01,Oct 2025,Che,PER,recurring,card,VISA,male,8484,41,2645.824054
2025-10-01,Oct 2025,Sol,USA,recurring,apple_pay,MASTERCARD,male,2828,68,2629.33
2025-10-01,Oct 2025,Raz,IND,recurring,card,MASTERCARD,male,No offer,66,2626.565466
2025-10-01,Oct 2025,Sol,USA,recurring,card,AMEX,male,2828,65,2599.35
2025-10-01,Oct 2025,Ad,ZAF,recurring,apple_pay,VISA,male,2828,69,2599.31
2025-10-01,Oct 2025,Raz,IND,recurring,card,MASTERCARD,male,728,66,2596.372189
2025-10-01,Oct 2025,Nuv,CAN,first,apple_pay,VISA,male,8484,64,2590.694483
2025-10-01,Oct 2025,Pay,CHE,recurring,apple_pay,MASTERCARD,male,2828,70,2549.35
